Classification,Ticket Number,Title,Description,Account,Queue,Resources,Status,Priority,Created,Due,Impact,Issue Type,Sub-Issue Type,Resolution
CDS-Northwest,T20220630.1672,ADP,"FROM: Tom.Mandt@chcs-services.com
FROM NAME: Tom Mandt
TO: support@synoptek.com
CC: 

Email Body: 
I haven't been able to get into ADP the last few days - is it just me or has there been an issue with ADP?
Thanks

Tom Mandt

Director of IT Data Science
612.991.8033
mailto:tom.mandt@chcs-services.com
[cid:image001.png@01D88CCF.A77CC300]
____________________________________________________________________________________________________________________
This e-mail, including attachments, may include confidential and/or proprietary information, and may be used only by the person or entity to which it is addressed. If the reader of this e-mail is not the intended recipient or his or her authorized agent, the reader is hereby notified that any dissemination, distribution or copying of this e-mail is prohibited. If you have received this e-mail in error, please notify the sender by replying to this message and delete this e-mail immediately.","iBAS, Inc (CHCS)",Global Shared Service Desk,"COELHO, GREG (primary)",Complete,P3 - Moderate,7/1/2022 8:51,7/5/2022 19:21,Single User,User Administration,Other,
CDS-Northwest,T20220630.1698,Duo activation link,"FROM: Manisha.Choudhary@chcs-services.com
FROM NAME: Manisha Choudhary
TO: support@synoptek.com
CC: 

Email Body: 
Hi Team,

Need an activation/enrollment link for setting up MFA using DUO in a new mobile. Please provide me with a fresh link to complete the setup.

Regards,
Manisha","iBAS, Inc (CHCS)",Global Shared Service Desk,"SHAH, ROMIL (primary)",Complete,P5 - Service Request,7/1/2022 9:38,7/9/2022 6:30,Single User,User Administration,Account Administration,
CDS-Northwest,T20220630.1762,SONORACNA Database restoration on IBSMANPRDDB11 server - high priority,"Your name: UMA MAHESWARI VASANTHA
Your email: chcsdba.support@chcs-services.com
Your phone number: 
How urgent is your request?: Normal
Who is impacted?: Don't know

Please restore the following database on IBSMANPRDDB11 server.

DATABASE BACKUP - RESTORE REQUEST 
* Restore On (Server Name) 	IBSMANPRDDB11.chcs-hosting.com
* Restore as (DB Name) 	SONORACNA
* Overwrite existing Database (Y/N) 	Y (SONORACNA_Restore04112022)
* From(Server Name) 	CHUSE1PRDLSNC2
* (DB Name) 	SONORACNA (PLEASE TAKE BACKUP OF DATE 28-06-2022) (dd-mm-yyyy)
Time : 7:30 AM EST
Reason to restore the backup 	To generate test files of  ‘CLAIM Disbursement REPORT ’
","iBAS, Inc (CHCS)",SO - Server Backups,"RAKE, SHUBHAM (primary)",Complete,P3 - Moderate,7/1/2022 10:48,7/6/2022 6:30,Single User,Backups,Other,
CDS-Northwest,T20220630.1763,Multiple alerts for US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR,"US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-USAAProviderPortal-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STAGE-IP-ProviderPortal-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-ProviderTerminalDEM-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-SOAMemberPortalAPI-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STAGE-IP-LTCMobility-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STAGE-IP-CITRONYCA-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-SOAMemberPortalUAT-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STAGE-IP-NurseNavigatorSTG-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-USAAPROVIDERPORTAL-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-UAT-IP-CITRON-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-SOAMEMBERPORTAL-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-CHCSSERVICES-BAU-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-CITRON-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-SOAMEMBERPORTALAPI-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-NURSENAVIGATOR-CNA-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-USAAPROVIDERPOR-BAU-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-NURSENAVIGATOR-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-UAT-IP-PROVIDERPORTAL-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-NURSENAVIGA-PRU-BAU-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-CITRON-CNA-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-UAT-IP-CITRON-CNA-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-ARCHIVAL-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-PROVIDERPORTAL-BAU-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STG-IP-CITRON-YCA-PRU-BAU-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STAGE-IP-CITRON-YCA-CNA-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STAGE-IP-CAREFORCENETWORK-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-UAT-IP-USAAPROVIDERPORTAL-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-PROVIDERPORTAL-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-DEMO-IP-CITRON-CNA-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-CAREFORCENETWORK-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-QA-IP-CHCSSERVICES-DR Status
US-W2:LB-Citron-Stage-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-STAGE-IP-CHCSServices-DR Status
US-W2:LB-Citron-QA-UAT-STAGE-NonDMZ-DR Application Target Groups AWS_ApplicationELB_TargetGroups-TG-UAT-IP-CAREFORCENETWORK-DR Status","iBAS, Inc (CHCS)",EOC,"FULPAGARE, PRASHANT (primary)",Complete,P3 - Moderate,7/1/2022 10:50,7/2/2022 6:30,Single User,Server Management,Other,
CDS-Northwest,T20220630.1770,LogicMonitor (error) Alert - US-E1:LB-LTC-Stage-Case360 - Application Target Groups-TG-NonProd-LTC-Case360-11443,"Group: Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/iBAS CHCS - AWS Cloud - Non-Prod/ApplicationELB, Devices by Type/Misc Host: US-E1:LB-LTC-Stage-Case360 Severity Level: error LMD557135763 error - US-E1:LB-LTC-Stage-Case360 Application Target Groups-TG-NonProd-LTC-Case360-11443 UnHealthyHostCount
Application ELB US-E1:LB-LTC-Stage-Case360 is reporting 1.0 unhealthy hosts in target group TG-NonProd-LTC-Case360-11443, placing it into error state. 

Check your Application ELB cluster or adjust your alert thresholds.

This condition has been ongoing since 2022-06-30 07:14:00 MDT, -- or for 16h 25m.

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD557135763&type=alert","iBAS, Inc (CHCS)",Merged Tickets,"DADHANIA, PINAL (primary)",Complete,P3 - Moderate,7/1/2022 11:09,7/2/2022 6:30,Single User,Cloud,Memory Addition,
CDS-Northwest,T20220701.0009,LogicMonitor (error) Alert - US-W2:IBSMANPRDAPP17DR_i-02af9891554624362 - EC2,"Group: Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/iBAS CHCS - AWS Cloud - Production/EC2, AWS devices - EC2, Devices by Type/Misc Host: US-W2:IBSMANPRDAPP17DR_i-02af9891554624362 Severity Level: error LMD570589730 error - US-W2:IBSMANPRDAPP17DR_i-02af9891554624362 EC2 CPUUtilization
AWS EC2 instance US-W2:IBSMANPRDAPP17DR_i-02af9891554624362 is experiencing high sustained CPU utilization of No Data % , placing the instance into error state.

This condition started at 2022-07-01 00:00:00 MDT, -- or 0h 23m ago.

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD570589730&type=alert","iBAS, Inc (CHCS)",EOC,"FULPAGARE, PRASHANT (primary)",Complete,P3 - Moderate,7/1/2022 11:53,7/2/2022 6:30,Single User,Server Management,CPU Utilization,"Jul 01 00:00  US-W2:IBSMANPRDAPP17DR_i-02af9891554624362 EC2
Jul 01 00:00  US-W2:IBSMANPRDAPP25DR_i-034b1f3ad276e8314 EC2


Alerts was found on the above instances 
then checked the Instances in iBAS production environment
these instance ids not found there so as per suggestion from cloud team ref ticket--T20220412.0841
making alerting off on these instances.
as alerts get cleared so closing ticket."
CDS-Northwest,T20220701.0060,Laptop - Camera not working,"FROM: Manoj.Tiwari@chcs-services.com
FROM NAME: Manoj Tiwari
TO: support@synoptek.com
CC: 

Email Body: 
Hi Team ,

CHCS Laptop camera is not working for me , please assist to resolve this issue .

Thanks
---------------------
Manoj Tiwari
CHCS-Services
[cid:image001.png@01D88D32.3C30EC30]","iBAS, Inc (CHCS)",Global Shared Service Desk,"PATEL, PARTH (primary)",Complete,P3 - Moderate,7/1/2022 13:24,7/2/2022 6:30,Single User,Endpoint Management,Other,
CDS-Northwest,T20220701.0132,System slowness issue,"FROM: Manish-Kumar.Verma@chcs-services.com
FROM NAME: Manish Kumar Verma
TO: support@synoptek.com
CC: 

Email Body: 
Hi Team,

I am facing system slowness & hanging issue for last 2-3 days, application even MS office also working verify slow.

Please resolve this issue asap.

USER ID : manishkv

Regards,
Manish
MOB 9990379458","iBAS, Inc (CHCS)",Global Shared Service Desk,"SHAH, ROMIL (primary) | GAJJAR, GAUTTAMKUMAR",Complete,P3 - Moderate,7/1/2022 15:18,7/2/2022 6:30,Single User,Endpoint Management,Performance Issue - OS,
CDS-Northwest,T20220701.0149,Issue with the umbrella client,"FROM: Amit.Kumar-Tiwari@chcs-services.com
FROM NAME: Amit Kumar Tiwari
TO: support@synoptek.com
CC: Rabindra.Pathak@chcs-services.com

Email Body: 
Hi Team,

One of my team members is facing umbrella client issue ,unable to browse internet.

Name of the User :- Rabindra Emp ID 1732366.

Please look in to this on a higher priority .

Regards,
Amit","iBAS, Inc (CHCS)",Global Shared Service Desk,"LEE, CHRISTOPHER (primary)",Complete,P3 - Moderate,7/1/2022 15:46,7/2/2022 6:30,Single User,Endpoint Management,Connectivity,
CDS-Northwest,T20220701.0155,RE: Server Slowness Issue,"FROM: Ghanshyam.Gandhi@chcs-services.com
FROM NAME: Ghanshyam Gandhi
TO: CustomerSupport@synoptek.com
CC: sivaji.dutta@chcs-services.com;ArDave@synoptek.com;NTeli@synoptek.com;PublicCloudSupport@synoptek.com;Sandesh.Suralkar@chcs-services.com

Email Body: 
Hi Team,

https://urldefense.proofpoint.com/v2/url?u=http-3A__IBSMANDEVELOP01.chcs-2Dhostingdev.com&d=DwIFAg&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=AQoK4S2F9RHTL_XIXJ2wq1EIZF4FAVYG92E-Tq97V9U&m=_35AAr0gKoELwDLIHxzu6nWMwH7B_nODZ2dDlZdth_s&s=mDl1Zlt5OZk3n_RoiOtKgVmQ6gdu37IV30jePeTUQBE&e= server is working deadly slow. Even I can't write down single query in SQL. I checked server resource utilization and its very high. For reference I attached the screen shot.

Thanks,
Ghanshyam Gandhi","iBAS, Inc (CHCS)",SO - Public Cloud,"KALARIYA, MEET (primary) | MODI, SUDIP",Complete,P3 - Moderate,7/1/2022 15:57,7/2/2022 6:30,Single User,Server Management,Performance Troubleshooting,
CDS-Northwest,T20220701.0173,Not able to connect to the VPN,"Not able to connect to the VPN
Callback number -4044531083","iBAS, Inc (CHCS)",SO - Public Cloud,"DUBEY, SAHIL (primary) | COELHO, GREG | PATODI, ANKIT",Complete,P3 - Moderate,7/1/2022 16:32,7/2/2022 6:30,Single User,Endpoint Management,Other,
CDS-Northwest,T20220701.0174,"Minerva Server Monitor Install Missing.  Site: iBAS, Inc (CHCS)  | CHUSE1PRDAPP06","This alert ticket was generated from AEM alert  #51816da2-03bd-4b5d-8651-15864a217634 for the trigger ""[Auto Install Monitor - MinervaArmor [WIN][Component]] - VarCheckResult: 2022-07-01T11:02:32: MinervaGroupID found and the agent is not installed. Generate an alert. (No variables)"" within the policy ""Auto Install Monitor - Minerva [WIN][SERVER]"". We last saw this r5.large (Amazon EC2) device online at 2022-07-01 10:32:37 UTC. The last known user was ""null"".","iBAS, Inc (CHCS)",SO - Security Services,,Complete,P4 - Functional,7/1/2022 16:32,7/7/2022 6:30,,Monitoring,Other,
CDS-Northwest,T20220701.0222,LogicMonitor (error) Alert - IBASInc-AwsEast1-ch1 - User Password Age-ss_synadmin,"Group: System Type/Patching/EDGE Patch Reboot - Mon 0700, System Type/EDGE Hubs: Unknown generation, Client Delivery Teams/CDS-Northwest/Customers/iBAS Inc - CHCS/AWS/US East 1, Devices by Type/Collectors, System Type/LogicMonitor Collectors, Devices by Type/Windows Servers, System Type/All Synoptek EDGE Hubs, System Type/Windows Host: IBASInc-AwsEast1-ch1 Severity Level: error LMD507310595 error - IBASInc-AwsEast1-ch1 User Password Age-ss_synadmin PasswordAge
There is a scheduled task (detail can be found at: https://synoptek.itglue.com/2536478/docs/4255887) that automatically resets the ss_synadmin password on Synoptek EDGE hubs. If this error appears on the EOC glass (for an EDGE hub), it indicates that the automatic password reset failed. As documented, there is a log file which may indicate why the password reset failed.

If the log file does not indicate why the password reset failed or if it indicates that the process failed for an un-resolvable reason, please manually reset the EDGE hub’s ss_synadmin password. If you are unable to log into the Windows desktop, use the steps described in https://synoptek.itglue.com/2536478/docs/6004091, to manually update the ss_synadmin password with the Datto RMM agent browser first, then reset from within Windows.

Alert Rule: This alert matches the rule iBAS, Inc_Error
Alert has been sent to:
stage 1:  EOCUser(sms)

Recipients: Alert now is going to stage 2 recipients:  EOCUser(Autotask Integration 2)Alert URL: https://synoptek.logicmonitor.com/santaba/uiv4/alert#detail~id=LMD507310595&type=alert","iBAS, Inc (CHCS)",EOC,"JOHNSON, LUCUS (primary)",Complete,P4 - Functional,7/1/2022 17:41,7/7/2022 6:30,Single User,Server Management,Local Admin,"reset password via MMC

Closing case."
CDS-Northwest,T20220701.0276,"Minerva Server Monitor Install Missing.  Site: iBAS, Inc (CHCS)  | CHUSE1PRDAPP07","This alert ticket was generated from AEM alert  #15838811-b27a-4d5b-a1c0-7c65e3577f1f for the trigger ""[Auto Install Monitor - MinervaArmor [WIN][Component]] - VarCheckResult: 2022-07-01T12:51:36: MinervaGroupID found and the agent is not installed. Generate an alert. (No variables)"" within the policy ""Auto Install Monitor - Minerva [WIN][SERVER]"". We last saw this r5.large (Amazon EC2) device online at 2022-07-01 10:54:59 UTC. The last known user was ""null"".","iBAS, Inc (CHCS)",SO - Security Services,"MULTANI, MAYURESH (primary)",Complete,P4 - Functional,7/1/2022 18:22,7/7/2022 6:30,,Monitoring,Other,"Checked Datto.
Device is online.
Verified Minerva is running on the system.
Closing the case."
CDS-Northwest,T20220701.0329,Not received Claims on hand for 07/01/2022,"FROM: rajinder.bisht@chcs-services.com
FROM NAME: Rajinder Singh Bisht
TO: support@synoptek.com;Asit.Joshi@chcs-services.com;sureshkumar.siddabattuni@chcs-services.com;insprodevtm@chcs-services.com;Savitha.Warrier@chcs-services.com
CC: Muniraju.KS@chcs-services.com;anupama.kumari@chcs-services.com

Email Body: 
Hi Team,

We have not received Claims on hand for 07/01/2022

[cid:image001.png@01D88D7B.BBCF2BC0]

Regards,
Rajinder Bisht","iBAS, Inc (CHCS)",Global Shared Service Desk,"GUPTA, MUKESH (primary)",Complete,P3 - Moderate,7/1/2022 18:53,7/8/2022 18:55,Single User,Software,:Other,
